"North.America.Temperature.Anomalies","September"
"1910","-0.23"
"1911","-0.12"
"1912","-0.85"
"1913","-0.96"
"1914","-0.24"
"1915","-0.53"
"1916","-0.41"
"1917","-0.09"
"1918","-0.93"
"1919","0.18"
"1920","-0.01"
"1921","0.11"
"1922","0.32"
"1923","0.07"
"1924","-0.62"
"1925","0.28"
"1926","-0.65"
"1927","-0.01"
"1928","-0.59"
"1929","-0.43"
"1930","0.14"
"1931","1.05"
"1932","0.16"
"1933","0.51"
"1934","-0.78"
"1935","-0.20"
"1936","0.12"
"1937","0.48"
"1938","1.35"
"1939","0.31"
"1940","1.02"
"1941","-0.39"
"1942","-0.22"
"1943","-0.04"
"1944","0.39"
"1945","-0.34"
"1946","0.10"
"1947","0.12"
"1948","0.66"
"1949","0.01"
"1950","-0.05"
"1951","-0.07"
"1952","0.32"
"1953","0.38"
"1954","0.39"
"1955","0.02"
"1956","-0.48"
"1957","0.30"
"1958","0.23"
"1959","-0.03"
"1960","0.43"
"1961","-0.57"
"1962","-0.19"
"1963","0.46"
"1964","-0.62"
"1965","-1.44"
"1966","0.47"
"1967","0.38"
"1968","0.05"
"1969","-0.04"
"1970","-0.44"
"1971","-0.06"
"1972","-1.11"
"1973","0.13"
"1974","-1.08"
"1975","-0.50"
"1976","0.24"
"1977","0.46"
"1978","0.22"
"1979","0.41"
"1980","-0.16"
"1981","0.23"
"1982","-0.10"
"1983","0.07"
"1984","-0.93"
"1985","-0.60"
"1986","-0.42"
"1987","0.77"
"1988","0.02"
"1989","0.17"
"1990","0.80"
"1991","0.12"
"1992","-1.00"
"1993","-0.55"
"1994","0.60"
"1995","0.58"
"1996","-0.14"
"1997","1.26"
"1998","1.72"
"1999","0.39"
"2000","0.22"
"2001","1.13"
"2002","1.01"
"2003","0.61"
"2004","0.25"
"2005","1.17"
"2006","0.58"
"2007","0.59"
"2008","0.36"
"2009","1.51"
"2010","0.85"
"2011","1.43"
"2012","1.41"
"2013","1.40"
"2014","0.76"
"2015","1.52"
"2016","1.40"
"2017","1.42"
"2018","0.30"
"2019","1.73"
"2020","0.73"
"2021","1.58"
"2022","2.03"
