Date,AQI,Category,city_ascii,state_id,state_name
2015-04-14,523,Hazardous,Bishop,CA,California
2015-08-14,485,Hazardous,Kennewick,WA,Washington
2015-08-23,302,Hazardous,Lewiston,ID,Idaho
2015-03-05,676,Hazardous,Phoenix,AZ,Arizona
2015-03-06,881,Hazardous,Phoenix,AZ,Arizona
2015-03-07,881,Hazardous,Phoenix,AZ,Arizona
2015-03-08,881,Hazardous,Phoenix,AZ,Arizona
2015-03-09,881,Hazardous,Phoenix,AZ,Arizona
2015-03-10,881,Hazardous,Phoenix,AZ,Arizona
2015-03-11,514,Hazardous,Phoenix,AZ,Arizona
2014-10-14,307,Hazardous,Bakersfield,CA,California
2014-03-17,443,Hazardous,Bishop,CA,California
2014-05-10,473,Hazardous,Bishop,CA,California
2014-12-31,911,Hazardous,Bishop,CA,California
2014-05-06,317,Hazardous,El Centro,CA,California
2014-11-01,359,Hazardous,El Centro,CA,California
2014-04-26,455,Hazardous,Las Cruces,NM,New Mexico
2014-05-02,417,Hazardous,Phoenix,AZ,Arizona
2014-07-03,436,Hazardous,Phoenix,AZ,Arizona
2014-07-08,825,Hazardous,Phoenix,AZ,Arizona
2014-10-16,881,Hazardous,Phoenix,AZ,Arizona
2014-10-17,881,Hazardous,Phoenix,AZ,Arizona
2014-10-18,881,Hazardous,Phoenix,AZ,Arizona
2014-10-19,881,Hazardous,Phoenix,AZ,Arizona
2014-10-20,881,Hazardous,Phoenix,AZ,Arizona
2014-10-21,524,Hazardous,Phoenix,AZ,Arizona
2014-12-25,881,Hazardous,Phoenix,AZ,Arizona
2014-12-26,881,Hazardous,Phoenix,AZ,Arizona
2014-12-28,334,Hazardous,Phoenix,AZ,Arizona
2014-02-22,850,Hazardous,Reno,NV,Nevada
2014-02-23,891,Hazardous,Reno,NV,Nevada
2014-02-24,891,Hazardous,Reno,NV,Nevada
2014-02-25,891,Hazardous,Reno,NV,Nevada
2014-02-26,523,Hazardous,Reno,NV,Nevada
2014-03-26,537,Hazardous,Riverside,CA,California
2013-02-20,425,Hazardous,Bishop,CA,California
2013-03-06,329,Hazardous,Bishop,CA,California
2013-02-24,386,Hazardous,Deming,NM,New Mexico
2013-04-17,556,Hazardous,Deming,NM,New Mexico
2013-05-02,307,Hazardous,Deming,NM,New Mexico
2013-07-28,350,Hazardous,Grants Pass,OR,Oregon
2013-07-31,327,Hazardous,Grants Pass,OR,Oregon
2013-11-02,515,Hazardous,Kennewick,WA,Washington
2013-02-20,305,Hazardous,Las Cruces,NM,New Mexico
2013-02-24,458,Hazardous,Las Cruces,NM,New Mexico
2013-04-08,411,Hazardous,Las Cruces,NM,New Mexico
2013-04-09,379,Hazardous,Las Cruces,NM,New Mexico
2013-04-17,452,Hazardous,Las Cruces,NM,New Mexico
2013-04-08,406,Hazardous,Phoenix,AZ,Arizona
2013-06-30,902,Hazardous,Phoenix,AZ,Arizona
2013-11-13,310,Hazardous,Phoenix,AZ,Arizona
2013-01-01,895,Hazardous,Reno,NV,Nevada
2013-01-02,895,Hazardous,Reno,NV,Nevada
2013-01-03,895,Hazardous,Reno,NV,Nevada
2013-01-04,895,Hazardous,Reno,NV,Nevada
2013-01-05,895,Hazardous,Reno,NV,Nevada
2013-01-06,895,Hazardous,Reno,NV,Nevada
