Date,AQI,Category,city_ascii,state_id,state_name
2015-08-22,162,Unhealthy,Albany,OR,Oregon
2015-08-23,179,Unhealthy,Albany,OR,Oregon
2015-01-12,154,Unhealthy,Anchorage,AK,Alaska
2015-09-08,152,Unhealthy,Ardmore,OK,Oklahoma
2015-05-08,161,Unhealthy,Atlanta,GA,Georgia
2015-08-04,172,Unhealthy,Atlanta,GA,Georgia
2015-01-06,158,Unhealthy,Bakersfield,CA,California
2015-01-07,166,Unhealthy,Bakersfield,CA,California
2015-01-08,168,Unhealthy,Bakersfield,CA,California
2015-01-09,170,Unhealthy,Bakersfield,CA,California
2015-01-10,180,Unhealthy,Bakersfield,CA,California
2015-05-30,151,Unhealthy,Bakersfield,CA,California
2015-06-08,159,Unhealthy,Bakersfield,CA,California
2015-06-13,159,Unhealthy,Bakersfield,CA,California
2015-06-25,179,Unhealthy,Bakersfield,CA,California
2015-06-26,159,Unhealthy,Bakersfield,CA,California
2015-06-30,179,Unhealthy,Bakersfield,CA,California
2015-07-03,159,Unhealthy,Bakersfield,CA,California
2015-07-29,166,Unhealthy,Bakersfield,CA,California
2015-08-06,151,Unhealthy,Bakersfield,CA,California
2015-08-15,161,Unhealthy,Bakersfield,CA,California
2015-08-16,159,Unhealthy,Bakersfield,CA,California
2015-09-08,154,Unhealthy,Bakersfield,CA,California
2015-09-09,190,Unhealthy,Bakersfield,CA,California
2015-09-10,154,Unhealthy,Bakersfield,CA,California
2015-09-19,166,Unhealthy,Bakersfield,CA,California
2015-09-20,179,Unhealthy,Bakersfield,CA,California
2015-09-24,164,Unhealthy,Bakersfield,CA,California
2015-09-02,156,Unhealthy,Baltimore,MD,Maryland
2015-07-27,156,Unhealthy,Baton Rouge,LA,Louisiana
2015-07-28,154,Unhealthy,Baton Rouge,LA,Louisiana
2015-08-12,164,Unhealthy,Beaumont,TX,Texas
2015-08-23,160,Unhealthy,Bend,OR,Oregon
2015-02-06,189,Unhealthy,Bishop,CA,California
2015-02-07,154,Unhealthy,Bishop,CA,California
2015-08-01,159,Unhealthy,Bishop,CA,California
2015-08-28,155,Unhealthy,Bishop,CA,California
2015-08-29,172,Unhealthy,Bishop,CA,California
2015-07-03,155,Unhealthy,Bismarck,ND,North Dakota
2015-09-18,156,Unhealthy,Boston,MA,Massachusetts
2015-08-20,174,Unhealthy,Bozeman,MT,Montana
2015-06-11,174,Unhealthy,Bridgeport,CT,Connecticut
2015-07-19,151,Unhealthy,Bridgeport,CT,Connecticut
2015-08-15,159,Unhealthy,Bridgeport,CT,Connecticut
2015-08-17,166,Unhealthy,Bridgeport,CT,Connecticut
2015-09-17,177,Unhealthy,Bridgeport,CT,Connecticut
2015-09-18,156,Unhealthy,Bridgeport,CT,Connecticut
2015-08-15,156,Unhealthy,Butte,MT,Montana
2015-08-20,165,Unhealthy,Butte,MT,Montana
2015-08-21,152,Unhealthy,Butte,MT,Montana
2015-08-25,151,Unhealthy,Butte,MT,Montana
2015-08-28,166,Unhealthy,Butte,MT,Montana
2015-08-29,168,Unhealthy,Butte,MT,Montana
2015-08-22,153,Unhealthy,Centralia,WA,Washington
2015-07-26,162,Unhealthy,Charleston,WV,West Virginia
2015-07-07,152,Unhealthy,Cheyenne,WY,Wyoming
2015-07-05,183,Unhealthy,Chicago,IL,Illinois
2015-07-23,156,Unhealthy,Chicago,IL,Illinois
2015-09-14,152,Unhealthy,Chico,CA,California
2015-07-25,151,Unhealthy,Cincinnati,OH,Ohio
2015-08-23,166,Unhealthy,Coeur d'Alene,ID,Idaho
2015-08-24,166,Unhealthy,Coeur d'Alene,ID,Idaho
2015-08-26,157,Unhealthy,Coeur d'Alene,ID,Idaho
2015-08-23,153,Unhealthy,Corvallis,OR,Oregon
2015-06-05,166,Unhealthy,Dallas,TX,Texas
2015-08-03,172,Unhealthy,Dallas,TX,Texas
2015-08-13,156,Unhealthy,Dallas,TX,Texas
2015-08-17,159,Unhealthy,Dallas,TX,Texas
2015-08-28,172,Unhealthy,Dallas,TX,Texas
2015-07-07,152,Unhealthy,Davenport,IA,Iowa
2015-06-21,169,Unhealthy,Denver,CO,Colorado
2015-06-23,164,Unhealthy,Denver,CO,Colorado
2015-07-05,165,Unhealthy,Detroit,MI,Michigan
2015-08-29,153,Unhealthy,Dickinson,ND,North Dakota
2015-01-01,175,Unhealthy,El Centro,CA,California
2015-01-02,155,Unhealthy,El Centro,CA,California
2015-05-18,175,Unhealthy,El Centro,CA,California
2015-08-22,157,Unhealthy,Ellensburg,WA,Washington
2015-08-23,156,Unhealthy,Ellensburg,WA,Washington
2015-08-22,171,Unhealthy,Eugene,OR,Oregon
2015-08-23,186,Unhealthy,Eugene,OR,Oregon
2015-01-03,164,Unhealthy,Fairbanks,AK,Alaska
2015-01-04,199,Unhealthy,Fairbanks,AK,Alaska
2015-01-06,185,Unhealthy,Fairbanks,AK,Alaska
2015-01-07,169,Unhealthy,Fairbanks,AK,Alaska
2015-01-08,165,Unhealthy,Fairbanks,AK,Alaska
2015-01-17,162,Unhealthy,Fairbanks,AK,Alaska
2015-01-18,197,Unhealthy,Fairbanks,AK,Alaska
2015-01-26,159,Unhealthy,Fairbanks,AK,Alaska
2015-01-27,167,Unhealthy,Fairbanks,AK,Alaska
2015-01-28,163,Unhealthy,Fairbanks,AK,Alaska
2015-01-29,161,Unhealthy,Fairbanks,AK,Alaska
2015-01-31,152,Unhealthy,Fairbanks,AK,Alaska
2015-02-01,153,Unhealthy,Fairbanks,AK,Alaska
2015-02-02,158,Unhealthy,Fairbanks,AK,Alaska
2015-02-04,157,Unhealthy,Fairbanks,AK,Alaska
2015-02-05,180,Unhealthy,Fairbanks,AK,Alaska
2015-02-06,167,Unhealthy,Fairbanks,AK,Alaska
2015-02-07,153,Unhealthy,Fairbanks,AK,Alaska
2015-02-09,171,Unhealthy,Fairbanks,AK,Alaska
2015-02-10,168,Unhealthy,Fairbanks,AK,Alaska
2015-02-14,156,Unhealthy,Fairbanks,AK,Alaska
2015-02-20,151,Unhealthy,Fairbanks,AK,Alaska
2015-06-22,160,Unhealthy,Fairbanks,AK,Alaska
2015-06-23,167,Unhealthy,Fairbanks,AK,Alaska
2015-06-25,187,Unhealthy,Fairbanks,AK,Alaska
2015-06-26,177,Unhealthy,Fairbanks,AK,Alaska
2015-06-27,169,Unhealthy,Fairbanks,AK,Alaska
2015-07-02,153,Unhealthy,Fairbanks,AK,Alaska
2015-07-05,153,Unhealthy,Fairbanks,AK,Alaska
2015-07-08,162,Unhealthy,Fairbanks,AK,Alaska
2015-07-07,161,Unhealthy,Fort Collins,CO,Colorado
2015-07-05,169,Unhealthy,Fort Wayne,IN,Indiana
2015-01-07,156,Unhealthy,Fresno,CA,California
2015-01-08,159,Unhealthy,Fresno,CA,California
2015-01-09,160,Unhealthy,Fresno,CA,California
2015-01-10,158,Unhealthy,Fresno,CA,California
2015-01-11,164,Unhealthy,Fresno,CA,California
2015-01-12,156,Unhealthy,Fresno,CA,California
2015-01-13,152,Unhealthy,Fresno,CA,California
2015-04-30,164,Unhealthy,Fresno,CA,California
2015-06-12,169,Unhealthy,Fresno,CA,California
2015-06-17,156,Unhealthy,Fresno,CA,California
2015-06-25,156,Unhealthy,Fresno,CA,California
2015-06-26,182,Unhealthy,Fresno,CA,California
2015-06-30,166,Unhealthy,Fresno,CA,California
2015-07-31,166,Unhealthy,Fresno,CA,California
2015-08-18,169,Unhealthy,Fresno,CA,California
2015-08-19,159,Unhealthy,Fresno,CA,California
2015-09-06,162,Unhealthy,Fresno,CA,California
2015-09-08,159,Unhealthy,Fresno,CA,California
2015-09-20,166,Unhealthy,Fresno,CA,California
2015-09-24,154,Unhealthy,Fresno,CA,California
2015-02-11,152,Unhealthy,Gadsden,AL,Alabama
2015-02-21,170,Unhealthy,Gadsden,AL,Alabama
2015-02-24,169,Unhealthy,Gadsden,AL,Alabama
2015-06-23,169,Unhealthy,Gardnerville Ranchos,NV,Nevada
2015-09-13,171,Unhealthy,Gardnerville Ranchos,NV,Nevada
2015-07-05,153,Unhealthy,Grand Rapids,MI,Michigan
2015-08-03,159,Unhealthy,Grants Pass,OR,Oregon
2015-08-23,166,Unhealthy,Grants Pass,OR,Oregon
2015-08-20,155,Unhealthy,Great Falls,MT,Montana
2015-08-21,152,Unhealthy,Great Falls,MT,Montana
2015-08-25,154,Unhealthy,Great Falls,MT,Montana
2015-08-27,156,Unhealthy,Great Falls,MT,Montana
2015-08-28,165,Unhealthy,Great Falls,MT,Montana
2015-08-29,152,Unhealthy,Great Falls,MT,Montana
2015-01-06,154,Unhealthy,Hanford,CA,California
2015-01-07,157,Unhealthy,Hanford,CA,California
2015-01-08,161,Unhealthy,Hanford,CA,California
2015-01-09,174,Unhealthy,Hanford,CA,California
2015-01-10,168,Unhealthy,Hanford,CA,California
2015-01-11,163,Unhealthy,Hanford,CA,California
2015-01-13,152,Unhealthy,Hanford,CA,California
2015-02-03,153,Unhealthy,Hanford,CA,California
2015-09-08,172,Unhealthy,Hanford,CA,California
2015-09-10,161,Unhealthy,Hanford,CA,California
