Date,AQI,city_ascii,state_id,state_name
2015-09-25,201,Bakersfield,CA,California
2015-04-24,233,Dalton,GA,Georgia
2015-01-05,238,Fairbanks,AK,Alaska
2015-06-24,220,Fairbanks,AK,Alaska
2015-07-07,235,Fairbanks,AK,Alaska
2015-09-10,205,Fresno,CA,California
2015-06-03,203,Houston,TX,Texas
2015-08-24,203,Lewiston,ID,Idaho
2015-06-20,203,Los Angeles,CA,California
2015-08-03,284,Medford,OR,Oregon
2015-08-23,206,Moscow,ID,Idaho
2015-05-30,203,Riverside,CA,California
2015-06-18,209,Riverside,CA,California
2015-06-19,213,Riverside,CA,California
2015-06-20,223,Riverside,CA,California
2015-06-25,202,Riverside,CA,California
2015-07-17,238,Riverside,CA,California
2015-08-18,204,Riverside,CA,California
2014-10-29,231,Anchorage,AK,Alaska
2014-07-30,217,Bishop,CA,California
2014-04-26,224,Deming,NM,New Mexico
2014-03-26,228,El Centro,CA,California
2014-05-05,230,El Centro,CA,California
2014-02-22,206,Fairbanks,AK,Alaska
2014-03-19,248,Las Cruces,NM,New Mexico
2014-04-02,266,Las Cruces,NM,New Mexico
2014-07-31,205,Los Angeles,CA,California
2014-08-30,203,Los Angeles,CA,California
2014-01-01,221,Phoenix,AZ,Arizona
2014-06-18,202,Phoenix,AZ,Arizona
2014-07-25,223,Phoenix,AZ,Arizona
2014-12-27,280,Phoenix,AZ,Arizona
2014-06-08,201,Riverside,CA,California
2014-08-18,218,Riverside,CA,California
2014-09-22,240,Sacramento,CA,California
2014-07-08,253,San Juan,PR,Puerto Rico
2014-05-06,230,Yuma,AZ,Arizona
2014-11-16,284,Yuma,AZ,Arizona
2013-05-05,218,Bakersfield,CA,California
2013-05-08,214,Beaver Dam,WI,Wisconsin
2013-04-09,210,Bishop,CA,California
2013-05-01,300,Bishop,CA,California
2013-08-23,220,Carson City,NV,Nevada
2013-04-16,293,Durango,CO,Colorado
2013-10-09,207,El Centro,CA,California
2013-08-23,257,Gardnerville Ranchos,NV,Nevada
2013-08-24,280,Gardnerville Ranchos,NV,Nevada
2013-08-25,237,Gardnerville Ranchos,NV,Nevada
2013-08-26,225,Gardnerville Ranchos,NV,Nevada
2013-08-27,221,Gardnerville Ranchos,NV,Nevada
2013-08-28,258,Gardnerville Ranchos,NV,Nevada
2013-07-29,237,Grants Pass,OR,Oregon
2013-07-30,259,Grants Pass,OR,Oregon
2013-08-07,210,Grants Pass,OR,Oregon
2013-05-02,256,Las Cruces,NM,New Mexico
2013-06-06,271,Las Cruces,NM,New Mexico
2013-07-30,207,Medford,OR,Oregon
2013-07-31,238,Medford,OR,Oregon
2013-04-08,276,Payson,AZ,Arizona
2013-04-19,221,Phoenix,AZ,Arizona
2013-05-03,207,Phoenix,AZ,Arizona
2013-10-09,248,Phoenix,AZ,Arizona
2013-10-16,238,Phoenix,AZ,Arizona
2013-11-15,211,Phoenix,AZ,Arizona
2013-06-01,206,Riverside,CA,California
2013-06-29,218,Riverside,CA,California
2013-09-14,202,Riverside,CA,California
2013-03-22,222,Tallahassee,FL,Florida
2013-04-08,212,Tucson,AZ,Arizona
2013-07-02,296,Tucson,AZ,Arizona
2013-01-20,201,Vernal,UT,Utah
2013-01-21,206,Vernal,UT,Utah
2013-01-22,209,Vernal,UT,Utah
2013-01-23,206,Vernal,UT,Utah
2013-01-24,220,Vernal,UT,Utah
2013-01-25,218,Vernal,UT,Utah
2013-01-26,227,Vernal,UT,Utah
2013-01-27,203,Vernal,UT,Utah
2013-02-05,210,Vernal,UT,Utah
2013-02-06,234,Vernal,UT,Utah
2013-02-14,222,Vernal,UT,Utah
2013-02-15,209,Vernal,UT,Utah
2013-02-16,209,Vernal,UT,Utah
2013-02-17,223,Vernal,UT,Utah
2013-02-21,222,Vernal,UT,Utah
2013-03-01,220,Vernal,UT,Utah
2013-03-02,230,Vernal,UT,Utah
2013-03-03,238,Vernal,UT,Utah
2013-03-07,229,Vernal,UT,Utah
2013-06-08,201,Visalia,CA,California
2012-05-07,291,Albuquerque,NM,New Mexico
2012-06-29,218,Atlanta,GA,Georgia
2012-07-11,202,Bakersfield,CA,California
2012-06-29,204,Baltimore,MD,Maryland
2012-06-26,207,Beaumont,TX,Texas
2012-09-22,220,Bend,OR,Oregon
2012-06-21,244,Bishop,CA,California
2012-06-24,280,Bishop,CA,California
2012-06-29,208,Cambridge,MD,Maryland
2012-06-29,206,Charlotte,NC,North Carolina
2012-08-03,206,Chicago,IL,Illinois
2012-06-28,202,Cincinnati,OH,Ohio
2012-06-28,203,Cleveland,OH,Ohio
2012-06-28,201,Columbus,OH,Ohio
2012-06-25,202,Dallas,TX,Texas
2012-06-26,205,Dallas,TX,Texas
2012-08-09,204,Dallas,TX,Texas
2012-12-19,238,Deming,NM,New Mexico
2012-06-28,208,Detroit,MI,Michigan
2012-08-09,274,El Centro,CA,California
2012-03-07,243,El Paso,TX,Texas
2012-06-28,206,Elkhart,IN,Indiana
2012-09-21,278,Ellensburg,WA,Washington
2012-11-08,222,Fairbanks,AK,Alaska
2012-11-29,209,Fairbanks,AK,Alaska
2012-07-12,212,Fresno,CA,California
2012-03-24,208,Houston,TX,Texas
2012-06-26,233,Houston,TX,Texas
2012-06-29,217,Knoxville,TN,Tennessee
2012-12-19,261,Las Cruces,NM,New Mexico
2012-07-11,207,Los Angeles,CA,California
2012-08-11,205,Los Angeles,CA,California
2012-06-27,220,Memphis,TN,Tennessee
