Date,AQI,Category,city_ascii,state_id,state_name
2015-09-25,201,Very Unhealthy,Bakersfield,CA,California
2015-04-24,233,Very Unhealthy,Dalton,GA,Georgia
2015-01-05,238,Very Unhealthy,Fairbanks,AK,Alaska
2015-06-24,220,Very Unhealthy,Fairbanks,AK,Alaska
2015-07-07,235,Very Unhealthy,Fairbanks,AK,Alaska
2015-09-10,205,Very Unhealthy,Fresno,CA,California
2015-06-03,203,Very Unhealthy,Houston,TX,Texas
2015-08-24,203,Very Unhealthy,Lewiston,ID,Idaho
2015-06-20,203,Very Unhealthy,Los Angeles,CA,California
2015-08-03,284,Very Unhealthy,Medford,OR,Oregon
2015-08-23,206,Very Unhealthy,Moscow,ID,Idaho
2015-05-30,203,Very Unhealthy,Riverside,CA,California
2015-06-18,209,Very Unhealthy,Riverside,CA,California
2015-06-19,213,Very Unhealthy,Riverside,CA,California
2015-06-20,223,Very Unhealthy,Riverside,CA,California
2015-06-25,202,Very Unhealthy,Riverside,CA,California
2015-07-17,238,Very Unhealthy,Riverside,CA,California
2015-08-18,204,Very Unhealthy,Riverside,CA,California
2014-10-29,231,Very Unhealthy,Anchorage,AK,Alaska
2014-07-30,217,Very Unhealthy,Bishop,CA,California
2014-04-26,224,Very Unhealthy,Deming,NM,New Mexico
2014-03-26,228,Very Unhealthy,El Centro,CA,California
2014-05-05,230,Very Unhealthy,El Centro,CA,California
2014-02-22,206,Very Unhealthy,Fairbanks,AK,Alaska
2014-03-19,248,Very Unhealthy,Las Cruces,NM,New Mexico
2014-04-02,266,Very Unhealthy,Las Cruces,NM,New Mexico
2014-07-31,205,Very Unhealthy,Los Angeles,CA,California
2014-08-30,203,Very Unhealthy,Los Angeles,CA,California
2014-01-01,221,Very Unhealthy,Phoenix,AZ,Arizona
2014-06-18,202,Very Unhealthy,Phoenix,AZ,Arizona
2014-07-25,223,Very Unhealthy,Phoenix,AZ,Arizona
2014-12-27,280,Very Unhealthy,Phoenix,AZ,Arizona
